Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,KL_divergence
"(37.89915966386555, 29.88235294117647, 0.42268907563025215, 0.9142857142857144, 0.53)",37.89915966386555,29.88235294117647,0.42268907563025215,0.9142857142857144,0.53,3.497257876396179,2.6361733473117397
"(95.16806722689074, 28.0, 0.2983193277310925, 0.8756302521008403, 0.19)",95.16806722689074,28.0,0.2983193277310925,0.8756302521008403,0.19,13.315639793872833,2.2586001434343945
"(142.6890756302521, 18.823529411764707, 0.30840336134453783, 0.9210084033613446, 0.58)",142.6890756302521,18.823529411764707,0.30840336134453783,0.9210084033613446,0.58,3.5377981901168822,2.076382603288703
"(34.24369747899159, 7.764705882352941, 0.37899159663865545, 0.8403361344537815, 0.1)",34.24369747899159,7.764705882352941,0.37899159663865545,0.8403361344537815,0.1,25.358958037694297,2.6799066468315083
"(29.369747899159663, 24.941176470588236, 0.21764705882352942, 0.8890756302521009, 0.92)",29.369747899159663,24.941176470588236,0.21764705882352942,0.8890756302521009,0.92,1.797276755174001,2.725437506312506
"(100.04201680672269, 10.117647058823529, 0.2647058823529412, 0.9932773109243698, 0.38)",100.04201680672269,10.117647058823529,0.2647058823529412,0.9932773109243698,0.38,5.243725454807281,3.401845026006307
"(139.03361344537814, 29.41176470588235, 0.22436974789915967, 0.9647058823529412, 0.14)",139.03361344537814,29.41176470588235,0.22436974789915967,0.9647058823529412,0.14,20.227022536595662,2.589970716771142
"(135.37815126050418, 5.647058823529411, 0.30840336134453783, 0.8168067226890756, 0.73)",135.37815126050418,5.647058823529411,0.30840336134453783,0.8168067226890756,0.73,2.720986310640971,2.076645119253431
"(43.99159663865546, 11.529411764705882, 0.26806722689075635, 0.8705882352941177, 0.5)",43.99159663865546,11.529411764705882,0.26806722689075635,0.8705882352941177,0.5,3.5467819492022197,2.5725931420331314
"(120.7563025210084, 4.0, 0.3285714285714286, 0.9815126050420169, 1.0)",120.7563025210084,4.0,0.3285714285714286,0.9815126050420169,1.0,1.804251770178477,2.852370787257172
"(115.88235294117646, 17.411764705882355, 0.39915966386554624, 0.9680672268907563, 0.45)",115.88235294117646,17.411764705882355,0.39915966386554624,0.9680672268907563,0.45,4.459819908936819,2.6931924982779893
"(108.57142857142856, 6.352941176470589, 0.1504201680672269, 0.9613445378151261, 0.93)",108.57142857142856,6.352941176470589,0.1504201680672269,0.9613445378151261,0.93,2.0519917408625283,2.327096012686182
"(114.66386554621847, 12.470588235294118, 0.2647058823529412, 0.838655462184874, 0.56)",114.66386554621847,12.470588235294118,0.2647058823529412,0.838655462184874,0.56,3.462162443002065,2.1513621471856084
"(148.781512605042, 8.705882352941178, 0.17058823529411765, 0.8789915966386554, 0.67)",148.781512605042,8.705882352941178,0.17058823529411765,0.8789915966386554,0.67,2.986330493291219,2.0429585113759465
"(58.613445378151255, 16.0, 0.2647058823529412, 0.9764705882352941, 0.66)",58.613445378151255,16.0,0.2647058823529412,0.9764705882352941,0.66,2.7003890832265216,2.917484900951737
"(65.92436974789916, 8.235294117647058, 0.11344537815126052, 0.9361344537815126, 0.17)",65.92436974789916,8.235294117647058,0.11344537815126052,0.9361344537815126,0.17,13.924961316585541,2.4282581727030994
"(7.436974789915967, 30.823529411764707, 0.23109243697478993, 0.9680672268907563, 0.25)",7.436974789915967,30.823529411764707,0.23109243697478993,0.9680672268907563,0.25,8.124376058578491,3.315055135496925
"(95.16806722689074, 17.411764705882355, 0.18403361344537816, 0.9630252100840336, 0.72)",95.16806722689074,17.411764705882355,0.18403361344537816,0.9630252100840336,0.72,2.555606722831726,2.7222887007151826
"(76.890756302521, 10.823529411764707, 0.38235294117647056, 0.8605042016806723, 0.29)",76.890756302521,10.823529411764707,0.38235294117647056,0.8605042016806723,0.29,7.417861131827037,2.3523368312666335
"(109.78991596638654, 13.647058823529411, 0.14369747899159666, 0.9294117647058824, 0.36)",109.78991596638654,13.647058823529411,0.14369747899159666,0.9294117647058824,0.36,5.7566709280014035,2.207897668244266
"(96.38655462184873, 9.882352941176471, 0.26806722689075635, 0.9680672268907563, 0.13)",96.38655462184873,9.882352941176471,0.26806722689075635,0.9680672268907563,0.13,21.03947652975718,2.7535800997090973
"(43.99159663865546, 12.705882352941176, 0.11680672268907563, 0.8957983193277311, 0.97)",43.99159663865546,12.705882352941176,0.11680672268907563,0.8957983193277311,0.97,1.7180075526237488,2.5839097918242775
"(86.63865546218487, 30.11764705882353, 0.27142857142857146, 0.9831932773109244, 0.97)",86.63865546218487,30.11764705882353,0.27142857142857146,0.9831932773109244,0.97,1.8876060406366983,2.922426316995997
"(30.588235294117645, 29.647058823529413, 0.22436974789915967, 0.9697478991596639, 0.24)",30.588235294117645,29.647058823529413,0.22436974789915967,0.9697478991596639,0.24,9.406964945793153,3.1186262417550887
"(17.18487394957983, 27.294117647058822, 0.4563025210084034, 0.8033613445378152, 0.64)",17.18487394957983,27.294117647058822,0.4563025210084034,0.8033613445378152,0.64,2.5190621574719745,2.9064790678134216
"(19.621848739495796, 32.0, 0.39579831932773113, 0.9210084033613446, 0.92)",19.621848739495796,32.0,0.39579831932773113,0.9210084033613446,0.92,1.7273407260576883,2.8666869066252936
"(24.49579831932773, 20.941176470588236, 0.48991596638655466, 0.9394957983193277, 0.27)",24.49579831932773,20.941176470588236,0.48991596638655466,0.9394957983193277,0.27,7.7845379193623865,2.8322658266546537
"(52.52100840336134, 24.941176470588236, 0.3890756302521009, 0.9798319327731093, 0.45)",52.52100840336134,24.941176470588236,0.3890756302521009,0.9798319327731093,0.45,4.194595738252004,3.003107771278212
"(45.21008403361344, 11.529411764705882, 0.4966386554621849, 0.8369747899159664, 0.39)",45.21008403361344,11.529411764705882,0.4966386554621849,0.8369747899159664,0.39,4.678249430656433,2.5682460620161027
"(31.806722689075627, 7.529411764705882, 0.2277310924369748, 0.9815126050420169, 0.47)",31.806722689075627,7.529411764705882,0.2277310924369748,0.9815126050420169,0.47,3.322440977891286,3.3210401283708686
"(119.5378151260504, 9.411764705882353, 0.126890756302521, 0.9983193277310924, 0.45)",119.5378151260504,9.411764705882353,0.126890756302521,0.9983193277310924,0.45,4.233751734097798,3.380071788383817
"(145.12605042016804, 7.764705882352941, 0.39579831932773113, 0.8739495798319328, 0.59)",145.12605042016804,7.764705882352941,0.39579831932773113,0.8739495798319328,0.59,3.410812803109487,2.0513248050551436
"(6.218487394957983, 5.176470588235294, 0.4529411764705883, 0.8050420168067227, 0.45)",6.218487394957983,5.176470588235294,0.4529411764705883,0.8050420168067227,0.45,3.3409662365913393,3.1579005950281704
"(11.092436974789916, 31.52941176470588, 0.4126050420168067, 1.0, 0.94)",11.092436974789916,31.52941176470588,0.4126050420168067,1.0,0.94,1.4751943270365397,4.94437279657866
"(125.63025210084032, 11.529411764705882, 0.20756302521008405, 0.8218487394957984, 0.56)",125.63025210084032,11.529411764705882,0.20756302521008405,0.8218487394957984,0.56,3.426192220052083,2.1188917386854467
"(70.7983193277311, 25.41176470588235, 0.2647058823529412, 0.8100840336134454, 0.26)",70.7983193277311,25.41176470588235,0.2647058823529412,0.8100840336134454,0.26,8.792106195290883,2.3807832318723303
"(42.773109243697476, 26.352941176470587, 0.2277310924369748, 0.8756302521008403, 0.82)",42.773109243697476,26.352941176470587,0.2277310924369748,0.8756302521008403,0.82,2.2479909936587017,2.5719024276574487
"(79.32773109243696, 14.823529411764707, 0.26806722689075635, 0.9798319327731093, 0.51)",79.32773109243696,14.823529411764707,0.26806722689075635,0.9798319327731093,0.51,3.6652294278144835,2.887902085546811
"(119.5378151260504, 4.9411764705882355, 0.3890756302521009, 0.9546218487394958, 0.29)",119.5378151260504,4.9411764705882355,0.3890756302521009,0.9546218487394958,0.29,8.045100315411885,2.2315428836094213
"(135.37815126050418, 27.294117647058822, 0.32521008403361346, 0.8067226890756303, 0.93)",135.37815126050418,27.294117647058822,0.32521008403361346,0.8067226890756303,0.93,2.6559173703193664,2.06041629209213
"(11.092436974789916, 8.235294117647058, 0.3285714285714286, 0.8033613445378152, 0.47)",11.092436974789916,8.235294117647058,0.3285714285714286,0.8033613445378152,0.47,3.9591206947962445,3.0237454700641972
"(123.19327731092436, 16.235294117647058, 0.4294117647058824, 0.9932773109243698, 0.36)",123.19327731092436,16.235294117647058,0.4294117647058824,0.9932773109243698,0.36,6.120405626296997,3.1478823294776532
"(5.0, 4.9411764705882355, 0.4966386554621849, 0.8218487394957984, 0.75)",5.0,4.9411764705882355,0.4966386554621849,0.8218487394957984,0.75,1.6881654342015584,3.2061683865213872
"(14.747899159663865, 19.529411764705884, 0.42605042016806727, 0.9260504201680673, 0.2)",14.747899159663865,19.529411764705884,0.42605042016806727,0.9260504201680673,0.2,11.003879328568777,2.972690343242858
"(24.49579831932773, 9.176470588235293, 0.38235294117647056, 0.9428571428571428, 0.21)",24.49579831932773,9.176470588235293,0.38235294117647056,0.9428571428571428,0.21,10.336206074555715,2.8036957652117263
"(113.4453781512605, 11.764705882352942, 0.4495798319327732, 0.8100840336134454, 0.96)",113.4453781512605,11.764705882352942,0.4495798319327732,0.8100840336134454,0.96,2.0901498595873513,2.145694677520993
"(113.4453781512605, 14.352941176470589, 0.3420168067226891, 0.8420168067226891, 0.22)",113.4453781512605,14.352941176470589,0.3420168067226891,0.8420168067226891,0.22,10.700884489218394,2.1700493507825467
"(39.11764705882353, 21.647058823529413, 0.4294117647058824, 0.8857142857142858, 0.29)",39.11764705882353,21.647058823529413,0.4294117647058824,0.8857142857142858,0.29,7.301689354578654,2.6338879369523234
"(53.739495798319325, 10.588235294117647, 0.24789915966386555, 0.907563025210084, 0.12)",53.739495798319325,10.588235294117647,0.24789915966386555,0.907563025210084,0.12,23.023139095306398,2.509752037749122
"(81.76470588235293, 31.52941176470588, 0.19075630252100842, 0.9781512605042018, 0.7)",81.76470588235293,31.52941176470588,0.19075630252100842,0.9781512605042018,0.7,2.5545334021250405,2.90126459197713
"(41.554621848739494, 23.058823529411764, 0.10336134453781513, 0.9294117647058824, 0.83)",41.554621848739494,23.058823529411764,0.10336134453781513,0.9294117647058824,0.83,2.0325785438219706,2.601426879853923
"(42.773109243697476, 14.823529411764707, 0.17394957983193277, 0.9092436974789916, 0.71)",42.773109243697476,14.823529411764707,0.17394957983193277,0.9092436974789916,0.71,2.387069062391917,2.582382432608455
"(108.57142857142856, 17.176470588235293, 0.35882352941176476, 0.9529411764705882, 0.24)",108.57142857142856,17.176470588235293,0.35882352941176476,0.9529411764705882,0.24,10.091491826375325,2.240306421652722
"(14.747899159663865, 21.176470588235293, 0.4596638655462185, 0.8268907563025211, 0.48)",14.747899159663865,21.176470588235293,0.4596638655462185,0.8268907563025211,0.48,3.5329010844230653,2.9465403172682105
"(121.97478991596637, 16.705882352941174, 0.3285714285714286, 0.8773109243697479, 0.95)",121.97478991596637,16.705882352941174,0.3285714285714286,0.8773109243697479,0.95,2.145179446538289,2.122125841919125
"(112.22689075630251, 7.764705882352941, 0.2747899159663866, 0.8117647058823529, 0.77)",112.22689075630251,7.764705882352941,0.2747899159663866,0.8117647058823529,0.77,2.455631411075592,2.164220761218953
"(113.4453781512605, 14.588235294117647, 0.14705882352941177, 0.9630252100840336, 0.95)",113.4453781512605,14.588235294117647,0.14705882352941177,0.9630252100840336,0.95,2.1234474420547484,2.3057534329161324
"(36.68067226890756, 26.11764705882353, 0.48319327731092443, 0.8588235294117648, 0.96)",36.68067226890756,26.11764705882353,0.48319327731092443,0.8588235294117648,0.96,1.6913769165674846,2.634591536328804
"(102.47899159663865, 30.588235294117645, 0.24789915966386555, 0.9596638655462185, 0.33)",102.47899159663865,30.588235294117645,0.24789915966386555,0.9596638655462185,0.33,6.343249491850535,2.599677802838178
"(54.95798319327731, 5.882352941176471, 0.23109243697478993, 0.8403361344537815, 0.66)",54.95798319327731,5.882352941176471,0.23109243697478993,0.8403361344537815,0.66,2.373385767141978,2.485537628204769
"(81.76470588235293, 26.823529411764707, 0.2647058823529412, 0.9630252100840336, 0.31)",81.76470588235293,26.823529411764707,0.2647058823529412,0.9630252100840336,0.31,6.811412286758423,2.758980277406174
"(12.310924369747898, 7.0588235294117645, 0.48991596638655466, 0.8100840336134454, 0.66)",12.310924369747898,7.0588235294117645,0.48991596638655466,0.8100840336134454,0.66,2.052680985132853,2.9860099831365776
"(30.588235294117645, 20.0, 0.20756302521008405, 0.8588235294117648, 0.46)",30.588235294117645,20.0,0.20756302521008405,0.8588235294117648,0.46,3.9713468313217164,2.718937685248374
"(93.94957983193277, 5.411764705882353, 0.17394957983193277, 0.9411764705882353, 0.27)",93.94957983193277,5.411764705882353,0.17394957983193277,0.9411764705882353,0.27,6.951271220048269,2.2961250241058178
"(39.11764705882353, 29.41176470588235, 0.3890756302521009, 0.8605042016806723, 0.82)",39.11764705882353,29.41176470588235,0.3890756302521009,0.8605042016806723,0.82,2.0458411534627277,2.614094062947691
"(6.218487394957983, 26.588235294117645, 0.4495798319327732, 0.9277310924369748, 0.27)",6.218487394957983,26.588235294117645,0.4495798319327732,0.9277310924369748,0.27,7.201859720547994,3.1841936486914104
"(140.2521008403361, 20.235294117647058, 0.19747899159663868, 0.9176470588235295, 0.69)",140.2521008403361,20.235294117647058,0.19747899159663868,0.9176470588235295,0.69,2.8610570867856344,2.0759892110690377
"(93.94957983193277, 17.176470588235293, 0.4764705882352941, 0.8773109243697479, 0.45)",93.94957983193277,17.176470588235293,0.4764705882352941,0.8773109243697479,0.45,4.379207154115041,2.2847663142662356
"(126.84873949579831, 29.176470588235293, 0.26806722689075635, 0.9563025210084034, 0.36)",126.84873949579831,29.176470588235293,0.26806722689075635,0.9563025210084034,0.36,6.049794391791026,2.222933375866809
"(93.94957983193277, 10.823529411764707, 0.3722689075630252, 0.8268907563025211, 0.95)",93.94957983193277,10.823529411764707,0.3722689075630252,0.8268907563025211,0.95,2.0256507833798727,2.2383570438989118
"(129.28571428571428, 20.235294117647058, 0.18739495798319328, 0.8134453781512605, 0.6)",129.28571428571428,20.235294117647058,0.18739495798319328,0.8134453781512605,0.6,3.2512003938357035,2.094732817297011
"(23.277310924369747, 31.294117647058822, 0.4294117647058824, 0.8184873949579833, 0.57)",23.277310924369747,31.294117647058822,0.4294117647058824,0.8184873949579833,0.57,3.0312562743822733,2.815564757824669
"(13.529411764705882, 13.882352941176471, 0.1, 0.8941176470588236, 0.63)",13.529411764705882,13.882352941176471,0.1,0.8941176470588236,0.63,2.417214790980021,2.9716564589041763
"(75.67226890756302, 9.882352941176471, 0.46302521008403363, 0.8420168067226891, 0.87)",75.67226890756302,9.882352941176471,0.46302521008403363,0.8420168067226891,0.87,2.024048697948456,2.3444626346758852
"(97.60504201680672, 29.41176470588235, 0.11680672268907563, 0.946218487394958, 0.27)",97.60504201680672,29.41176470588235,0.11680672268907563,0.946218487394958,0.27,8.228875251611074,2.2838297623931982
"(115.88235294117646, 18.352941176470587, 0.31176470588235294, 0.8016806722689076, 0.38)",115.88235294117646,18.352941176470587,0.31176470588235294,0.8016806722689076,0.38,5.4067495465278625,2.1539944967903395
"(24.49579831932773, 30.352941176470587, 0.37899159663865545, 0.9865546218487395, 0.51)",24.49579831932773,30.352941176470587,0.37899159663865545,0.9865546218487395,0.51,3.4560471256573995,3.457723774288141
"(113.4453781512605, 8.0, 0.22100840336134456, 0.8991596638655462, 0.58)",113.4453781512605,8.0,0.22100840336134456,0.8991596638655462,0.58,3.2438239733378094,2.177263090925379
"(46.42857142857142, 18.588235294117645, 0.18067226890756305, 0.9495798319327731, 0.97)",46.42857142857142,18.588235294117645,0.18067226890756305,0.9495798319327731,0.97,1.7692890405654906,2.582777517971783
"(69.5798319327731, 14.823529411764707, 0.26134453781512607, 0.8134453781512605, 0.72)",69.5798319327731,14.823529411764707,0.26134453781512607,0.8134453781512605,0.72,2.500848666826884,2.4148837708662843
"(28.15126050420168, 25.41176470588235, 0.3016806722689076, 0.9747899159663865, 0.6)",28.15126050420168,25.41176470588235,0.3016806722689076,0.9747899159663865,0.6,2.8688138326009116,3.122331330559872
"(50.08403361344537, 4.235294117647059, 0.2983193277310925, 0.8336134453781513, 0.53)",50.08403361344537,4.235294117647059,0.2983193277310925,0.8336134453781513,0.53,2.9878056486447653,2.5161911318610333
"(112.22689075630251, 15.529411764705882, 0.28823529411764703, 0.8638655462184874, 0.24)",112.22689075630251,15.529411764705882,0.28823529411764703,0.8638655462184874,0.24,9.75209610859553,2.1801375125889706
"(119.5378151260504, 20.705882352941178, 0.18403361344537816, 0.8554621848739496, 0.32)",119.5378151260504,20.705882352941178,0.18403361344537816,0.8554621848739496,0.32,6.626847863197327,2.140566360719056
"(98.8235294117647, 21.176470588235293, 0.25126050420168067, 0.8134453781512605, 0.55)",98.8235294117647,21.176470588235293,0.25126050420168067,0.8134453781512605,0.55,3.505200143655141,2.224296815638713
"(86.63865546218487, 6.117647058823529, 0.4495798319327732, 0.9815126050420169, 0.55)",86.63865546218487,6.117647058823529,0.4495798319327732,0.9815126050420169,0.55,3.2112247745196023,2.9707345883601093
"(79.32773109243696, 31.058823529411764, 0.4495798319327732, 0.8033613445378152, 0.64)",79.32773109243696,31.058823529411764,0.4495798319327732,0.8033613445378152,0.64,2.8906084577242535,2.3231793888029255
"(130.50420168067225, 18.352941176470587, 0.39579831932773113, 0.9613445378151261, 0.68)",130.50420168067225,18.352941176470587,0.39579831932773113,0.9613445378151261,0.68,3.0276410579681396,2.2241418872666934
"(146.34453781512605, 17.647058823529413, 0.20756302521008405, 0.9882352941176471, 0.57)",146.34453781512605,17.647058823529413,0.20756302521008405,0.9882352941176471,0.57,3.444304347038269,2.8712820513771313
"(131.72268907563023, 7.764705882352941, 0.4159663865546219, 0.9630252100840336, 0.87)",131.72268907563023,7.764705882352941,0.4159663865546219,0.9630252100840336,0.87,2.411211653550466,2.4116293791735828
"(108.57142857142856, 29.176470588235293, 0.3689075630252101, 0.9226890756302522, 0.19)",108.57142857142856,29.176470588235293,0.3689075630252101,0.9226890756302522,0.19,13.460459220409394,2.2019066170018213
"(91.5126050420168, 9.411764705882353, 0.26134453781512607, 0.8420168067226891, 0.66)",91.5126050420168,9.411764705882353,0.26134453781512607,0.8420168067226891,0.66,2.8512917200724286,2.263897807983623
"(13.529411764705882, 25.647058823529413, 0.2747899159663866, 0.8907563025210085, 0.99)",13.529411764705882,25.647058823529413,0.2747899159663866,0.8907563025210085,0.99,1.5042567451794941,2.985443795293273
"(92.73109243697478, 17.647058823529413, 0.365546218487395, 0.9546218487394958, 0.58)",92.73109243697478,17.647058823529413,0.365546218487395,0.9546218487394958,0.58,3.283513617515564,2.3094210038630862
