Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence
pipeline_286,"(25, 25, 0.1, 0.8, 0.5)",25,25,0.1,0.8,0.8,31.73822857538859,14.02738315264384,3.298179834087801
pipeline_287,"(25, 25, 0.1, 0.8, 0.75)",25,25,0.1,0.8,0.8,16.963992488384246,14.02738315264384,3.3100268682763936
pipeline_288,"(25, 25, 0.1, 0.8, 1.0)",25,25,0.1,0.8,0.8,11.363772416114807,14.02738315264384,3.3507321105017702
pipeline_289,"(25, 25, 0.1, 0.9, 0.25)",25,25,0.1,0.9,0.9,94.53424504995346,14.02738315264384,3.2966450229392255
pipeline_290,"(25, 25, 0.1, 0.9, 0.5)",25,25,0.1,0.9,0.9,31.753171269098917,14.02738315264384,3.298179834087801
pipeline_291,"(25, 25, 0.1, 0.9, 0.75)",25,25,0.1,0.9,0.9,16.97349118789037,14.02738315264384,3.3100268682763936
pipeline_292,"(25, 25, 0.1, 0.9, 1.0)",25,25,0.1,0.9,0.9,11.379507879416147,14.02738315264384,3.3507321105017702
pipeline_293,"(25, 25, 0.1, 1.0, 0.25)",25,25,0.1,1.0,1.0,94.40966572761536,14.02738315264384,3.2966450229392255
pipeline_294,"(25, 25, 0.1, 1.0, 0.5)",25,25,0.1,1.0,1.0,31.734988339742024,14.02738315264384,3.298179834087801
pipeline_295,"(25, 25, 0.1, 1.0, 0.75)",25,25,0.1,1.0,1.0,16.95745719273885,14.02738315264384,3.3100268682763936
pipeline_296,"(25, 25, 0.1, 1.0, 1.0)",25,25,0.1,1.0,1.0,11.370492935180664,14.055973319212596,3.344854869386449
pipeline_297,"(25, 25, 0.3, 0.8, 0.25)",25,25,0.3,0.8,0.8,94.32102715571722,14.02738315264384,3.2966450229392255
pipeline_298,"(25, 25, 0.3, 0.8, 0.5)",25,25,0.3,0.8,0.8,31.688819555441537,14.02738315264384,3.298179834087801
pipeline_299,"(25, 25, 0.3, 0.8, 0.75)",25,25,0.3,0.8,0.8,16.93920666774114,14.02738315264384,3.3100268682763936
pipeline_300,"(25, 25, 0.3, 0.8, 1.0)",25,25,0.3,0.8,0.8,11.450244804223379,14.055973319212596,3.354004251658443
pipeline_301,"(25, 25, 0.3, 0.9, 0.25)",25,25,0.3,0.9,0.9,93.9685733238856,14.02738315264384,3.2966450229392255
pipeline_302,"(25, 25, 0.3, 0.9, 0.5)",25,25,0.3,0.9,0.9,31.677201970418295,14.02738315264384,3.298179834087801
pipeline_303,"(25, 25, 0.3, 0.9, 0.75)",25,25,0.3,0.9,0.9,16.91432410478592,14.02738315264384,3.3100268682763936
pipeline_304,"(25, 25, 0.3, 0.9, 1.0)",25,25,0.3,0.9,0.9,11.433685656388601,14.055973319212596,3.354004251658443
pipeline_305,"(25, 25, 0.3, 1.0, 0.25)",25,25,0.3,1.0,1.0,94.09657754500707,14.02738315264384,3.2966450229392255
pipeline_306,"(25, 25, 0.3, 1.0, 0.5)",25,25,0.3,1.0,1.0,31.66994708776474,14.02738315264384,3.298179834087801
pipeline_307,"(25, 25, 0.3, 1.0, 0.75)",25,25,0.3,1.0,1.0,16.94511704047521,14.02738315264384,3.3100268682763936
pipeline_308,"(25, 25, 0.3, 1.0, 1.0)",25,25,0.3,1.0,1.0,11.436047609647115,14.055973319212596,3.354004251658443
pipeline_309,"(25, 25, 0.5, 0.8, 0.25)",25,25,0.5,0.8,0.8,94.03666662375132,14.02738315264384,3.2966450229392255
pipeline_310,"(25, 25, 0.5, 0.8, 0.5)",25,25,0.5,0.8,0.8,31.705886499087015,14.02738315264384,3.298179834087801
pipeline_311,"(25, 25, 0.5, 0.8, 0.75)",25,25,0.5,0.8,0.8,16.95680738290151,14.02738315264384,3.3100268682763936
pipeline_312,"(25, 25, 0.5, 0.8, 1.0)",25,25,0.5,0.8,0.8,11.441566359996795,14.055973319212596,3.354004251658443
pipeline_313,"(25, 25, 0.5, 0.9, 0.25)",25,25,0.5,0.9,0.9,94.14894999663035,14.02738315264384,3.2966450229392255
pipeline_314,"(25, 25, 0.5, 0.9, 0.5)",25,25,0.5,0.9,0.9,31.731416050593058,14.02738315264384,3.298179834087801
pipeline_315,"(25, 25, 0.5, 0.9, 0.75)",25,25,0.5,0.9,0.9,16.986500151952107,14.02738315264384,3.3100268682763936
pipeline_316,"(25, 25, 0.5, 0.9, 1.0)",25,25,0.5,0.9,0.9,11.454359710216522,14.055973319212596,3.354004251658443
pipeline_317,"(25, 25, 0.5, 1.0, 0.25)",25,25,0.5,1.0,1.0,94.41422111193339,14.02738315264384,3.2966450229392255
pipeline_318,"(25, 25, 0.5, 1.0, 0.5)",25,25,0.5,1.0,1.0,31.664806493123372,14.02738315264384,3.298179834087801
pipeline_319,"(25, 25, 0.5, 1.0, 0.75)",25,25,0.5,1.0,1.0,16.963433329264323,14.02738315264384,3.3100268682763936
pipeline_320,"(25, 25, 0.5, 1.0, 1.0)",25,25,0.5,1.0,1.0,11.50351449251175,14.055973319212596,3.354004251658443
pipeline_321,"(25, 32, 0.1, 0.8, 0.25)",25,32,0.1,0.8,0.8,96.73592342535655,14.055973319212596,3.3041978231633404
pipeline_322,"(25, 32, 0.1, 0.8, 0.5)",25,32,0.1,0.8,0.8,32.992633994420366,14.055973319212596,3.3272846272522845
pipeline_323,"(25, 32, 0.1, 0.8, 0.75)",25,32,0.1,0.8,0.8,17.226897712548574,14.055973319212596,3.3141877546685876
pipeline_324,"(25, 32, 0.1, 0.8, 1.0)",25,32,0.1,0.8,0.8,11.51584730943044,14.055973319212596,3.35055843877511
pipeline_325,"(25, 32, 0.1, 0.9, 0.25)",25,32,0.1,0.9,0.9,96.68931090037027,14.055973319212596,3.3041978231633404
pipeline_326,"(25, 32, 0.1, 0.9, 0.5)",25,32,0.1,0.9,0.9,32.93675868908564,14.055973319212596,3.3272846272522845
pipeline_327,"(25, 32, 0.1, 0.9, 0.75)",25,32,0.1,0.9,0.9,17.215165189901988,14.055973319212596,3.3141877546685876
pipeline_328,"(25, 32, 0.1, 0.9, 1.0)",25,32,0.1,0.9,0.9,11.48412690560023,14.055973319212596,3.35055843877511
pipeline_329,"(25, 32, 0.1, 1.0, 0.25)",25,32,0.1,1.0,1.0,96.69093191226324,14.055973319212596,3.3041978231633404
