Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,KL_divergence,trust_k30,trust_k300,stress
"(63.487394957983184, 7.0588235294117645, 0.2008403361344538, 0.8, 0.12)",63.487394957983184,7.0588235294117645,0.2008403361344538,0.8,0.12,20.59458712339401,2.436188026477513,0.571664910752498,0.5681188699603665,0.8658372125986765
"(75.67226890756302, 10.117647058823529, 0.35546218487394965, 0.8537815126050421, 0.4)",75.67226890756302,10.117647058823527,0.3554621848739496,0.8537815126050421,0.4,4.796836320559184,2.361166007393466,0.5675009554313815,0.5676928351189772,0.8906290142591614
"(43.99159663865546, 4.9411764705882355, 0.44285714285714284, 0.8672268907563025, 0.88)",43.99159663865546,4.941176470588236,0.4428571428571428,0.8672268907563025,0.88,1.7203384995460511,2.56371856248118,0.574546987226765,0.5623503741864737,0.8679952264120534
"(25.71428571428571, 4.235294117647059, 0.35546218487394965, 0.8050420168067227, 0.4)",25.71428571428571,4.235294117647059,0.3554621848739496,0.8050420168067227,0.4,4.145445823669434,2.759805282813053,0.5775796438323069,0.5619220634057679,0.7372864224741544
"(34.24369747899159, 20.470588235294116, 0.33193277310924374, 0.9949579831932773, 0.43)",34.24369747899159,20.47058823529412,0.3319327731092437,0.9949579831932772,0.43,4.269935202598572,3.953747535011836,0.5433617626625877,0.546885058215526,30.412730217483393
"(148.781512605042, 5.647058823529411, 0.41932773109243704, 0.9697478991596639, 0.24)",148.781512605042,5.647058823529411,0.419327731092437,0.969747899159664,0.24,8.925517046451569,2.639174749961481,0.5515024981213332,0.5565307533727132,1.250010353937433
"(7.436974789915967, 8.470588235294118, 0.2781512605042017, 1.0, 0.19)",7.436974789915967,8.470588235294118,0.2781512605042017,1.0,0.19,10.817799178759255,4.559787509901011,0.5552239188980028,0.5441339297511611,53.363973113423114
"(51.30252100840336, 15.76470588235294, 0.11680672268907563, 0.9109243697478991, 0.58)",51.30252100840336,15.76470588235294,0.1168067226890756,0.9109243697478993,0.58,2.9871004819869995,2.5165461642907427,0.5720303787592661,0.564699899393827,0.8575603354987729
"(98.8235294117647, 24.235294117647058, 0.23109243697478993, 0.9411764705882353, 0.51)",98.8235294117647,24.235294117647054,0.2310924369747899,0.9411764705882352,0.51,3.77304429213206,2.2580715669994955,0.5649846609386656,0.56747401634096,0.896887137817605
"(65.92436974789916, 5.411764705882353, 0.3420168067226891, 0.8638655462184874, 0.17)",65.92436974789916,5.411764705882353,0.3420168067226891,0.8638655462184874,0.17,12.535579629739123,2.4155131739622764,0.5701812534967496,0.5658395886308916,0.8681745524365047
"(84.2016806722689, 22.352941176470587, 0.21764705882352942, 0.8084033613445378, 0.28)",84.2016806722689,22.352941176470587,0.2176470588235294,0.8084033613445378,0.28,7.695505221684773,2.3044455233663967,0.5678073635581633,0.5684702630550624,0.895425694984674
"(54.95798319327731, 18.11764705882353, 0.2848739495798319, 0.8588235294117648, 0.34)",54.95798319327731,18.11764705882353,0.2848739495798319,0.8588235294117648,0.34,5.852175533771515,2.4867553295543345,0.5729618304865776,0.5660376094196254,0.849799856836022
