Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence,trust_k30,trust_k300,stress
pipeline_0,"(65, 4, 0.1, 0.8, 0.25)",65,4,0.1,0.8,0.25,60.08190790017446,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_1,"(65, 4, 0.1, 0.9, 0.25)",65,4,0.1,0.9,0.25,58.73911450306574,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_2,"(65, 4, 0.1, 1.0, 0.25)",65,4,0.1,1.0,0.25,59.22180160284042,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_3,"(65, 4, 0.3, 0.8, 0.25)",65,4,0.3,0.8,0.25,58.6146077076594,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_4,"(65, 4, 0.3, 0.9, 0.25)",65,4,0.3,0.9,0.25,59.59052098989487,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_5,"(65, 4, 0.3, 1.0, 0.25)",65,4,0.3,1.0,0.25,59.01999189853668,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_6,"(65, 4, 0.5, 0.8, 0.25)",65,4,0.5,0.8,0.25,58.75108201901118,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_7,"(65, 4, 0.5, 0.9, 0.25)",65,4,0.5,0.9,0.25,58.46788938442866,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_8,"(65, 4, 0.5, 1.0, 0.25)",65,4,0.5,1.0,0.25,58.691540765762326,12.199162157376607,2.927480232754588,0.634350419144849,0.6100109872381385,0.5610971283600511
pipeline_9,"(65, 4, 0.1, 0.8, 0.5)",65,4,0.1,0.8,0.5,20.74109361569087,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_10,"(65, 4, 0.1, 0.9, 0.5)",65,4,0.1,0.9,0.5,20.896271574497224,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_11,"(65, 4, 0.1, 1.0, 0.5)",65,4,0.1,1.0,0.5,20.761056419213613,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_12,"(65, 4, 0.3, 0.8, 0.5)",65,4,0.3,0.8,0.5,20.813443688551583,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_13,"(65, 4, 0.3, 0.9, 0.5)",65,4,0.3,0.9,0.5,20.9758283217748,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_14,"(65, 4, 0.3, 1.0, 0.5)",65,4,0.3,1.0,0.5,20.823025325934093,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_15,"(65, 4, 0.5, 0.8, 0.5)",65,4,0.5,0.8,0.5,20.69082481066386,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_16,"(65, 4, 0.5, 0.9, 0.5)",65,4,0.5,0.9,0.5,20.711416860421497,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_17,"(65, 4, 0.5, 1.0, 0.5)",65,4,0.5,1.0,0.5,20.780560553073883,12.199162157376607,2.928818040727096,0.6343255797494403,0.6106255952418014,0.5749134000071447
pipeline_18,"(65, 4, 0.1, 0.8, 0.75)",65,4,0.1,0.8,0.75,12.027762711048126,12.199162157376607,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_19,"(65, 4, 0.1, 0.9, 0.75)",65,4,0.1,0.9,0.75,11.8747279326121,12.199162157376607,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_20,"(65, 4, 0.1, 1.0, 0.75)",65,4,0.1,1.0,0.75,12.168278121948244,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_21,"(65, 4, 0.3, 0.8, 0.75)",65,4,0.3,0.8,0.75,12.038832263151804,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_22,"(65, 4, 0.3, 0.9, 0.75)",65,4,0.3,0.9,0.75,12.12956831852595,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_23,"(65, 4, 0.3, 1.0, 0.75)",65,4,0.3,1.0,0.75,12.040109968185424,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_24,"(65, 4, 0.5, 0.8, 0.75)",65,4,0.5,0.8,0.75,11.939760168393454,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_25,"(65, 4, 0.5, 0.9, 0.75)",65,4,0.5,0.9,0.75,12.164267293612165,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_26,"(65, 4, 0.5, 1.0, 0.75)",65,4,0.5,1.0,0.75,11.84099469979604,12.298686297734578,2.929344773662656,0.6335349194187634,0.6107583208672377,0.613602675095237
pipeline_27,"(65, 4, 0.1, 0.8, 1.0)",65,4,0.1,0.8,1.0,8.201877077420553,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_28,"(65, 4, 0.1, 0.9, 1.0)",65,4,0.1,0.9,1.0,8.133275751272837,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_29,"(65, 4, 0.1, 1.0, 1.0)",65,4,0.1,1.0,1.0,8.175423868497212,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_30,"(65, 4, 0.3, 0.8, 1.0)",65,4,0.3,0.8,1.0,8.228031222025553,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_31,"(65, 4, 0.3, 0.9, 1.0)",65,4,0.3,0.9,1.0,8.16524670124054,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_32,"(65, 4, 0.3, 1.0, 1.0)",65,4,0.3,1.0,1.0,8.32440630197525,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_33,"(65, 4, 0.5, 0.8, 1.0)",65,4,0.5,0.8,1.0,8.251519544919331,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
pipeline_34,"(65, 4, 0.5, 0.9, 1.0)",65,4,0.5,0.9,1.0,8.121925099690754,12.298686297734578,2.948617826550999,0.6317464836595361,0.6105830654615645,0.6774839446968032
